time,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2018-11-02 02:45:24.489 UTC, , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,12735000576,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1541126724073,3145728,1377, , , ,9,4,20,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , , , ,28936712,-1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-11-02 02:45:24.667 UTC, , , , , , , ,125,3186925,41072, , ,7, ,63, , , , , , , , , ,7,7, , , , ,4,8, ,16, , , , , , , , , , , , , , ,20990,2,18467,19211,1, ,7,14,21036,12734963712,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21036,1541126724073,3145728,20990, , , ,5,13,34,13,2,13, ,3,13, , , , , , , , , , ,4096,2,19609,13, , , , , , ,1,7,14221776,-1, , , , , , ,91, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,15,7,6,2,3,5,2,2, , , , , 
2018-11-02 02:45:45.217 UTC, , , , , , , ,125,3163869,18016, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,4, ,25,16, , , , , , , , , , , , , ,21374,3, ,21090, , , , ,21421,12734738432,50,50,50,50, , , , , ,3,83, , , , , , , , , , , , , , , , , , , , , , , , , ,21421,1541126744808,3145728,21374, , ,24,0, , , ,2, , ,3, , ,24, ,2048,1, , , , , ,134156,39, , , , , , , , , , ,31129464,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-11-02 02:45:45.393 UTC, , , , , , , ,125,3186245,40392, , ,7, ,59,4,0.07, , , , , , , ,7,7, , , ,3,4,8, ,20,5, , , , , , , , , , , , , ,23265,4,1223,22313,1, ,4,8,23311,12734738432,50,50,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23311,1541126744808,3145728,23265, , ,13,10,8,24,8,3,8, ,3,8, ,13,1, , , , , , , ,31288,16,1890,8, , , , , , ,1,7,15312280,-1, , , , , , ,91, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,15,9,2,3,4,4,2,2, , , , , 
2018-11-02 02:46:13.238 UTC, , , , , , , ,125,3163917,18064, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,4, ,29,18, , , , , , , , , , , , , ,23638,5, ,23365, , , , ,23685,12734468096,46,46,46,46, , , , , ,3,115, , , , , , , , , , , , , , , , , , , , , , , , , ,23685,1541126772828,3145728,23638, , ,27,0, , , ,2, , ,3, , ,27, ,2048,1, , , , , ,136372,42, , , , , , , , , , ,31149984,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-11-02 02:46:13.416 UTC, , , , , , , ,125,3186293,40440, , ,7, ,63,4,0.06, , , , , , , ,7,7, , , ,3,4,8, ,23,5, , , , , , , , , , , , , ,25842,6,1292,24657,1, ,5,10,25888,12734464000,46,46,46,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25888,1541126772828,3145728,25842, , ,13,3,8,19,8,3,8, ,3,8, ,13,1, , , , , , , ,31288,16,2203,8, , , , , , ,1,7,15305792,-1, , , , , , ,98, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,15,10,2,4,4,4,2,2, , , , , 
2018-11-02 02:52:47.254 UTC, , , , , , , ,125,3163965,18112, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,4, ,33,20, , , , , , , , , , , , , ,26217,7, ,25942, , , , ,26264,12741685248,42,42,42,42, , , , , ,4,151, , , , , , , , , , , , , , , , , , , , , , , , , ,26264,1541127166830,3145728,26217, , ,29,0, , , ,2, , ,3, , ,29, ,2048,1, , , , , ,152934,46, , , , , , , , , , ,30972848,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-11-02 02:52:47.461 UTC, , , , , , , ,125,3186453,40600, , ,7, ,67,4,0.06, , , , , , , ,7,7, , , ,3,4,8, ,23,5, , , , , , , , , , , , , ,28528,8,1288,27230,1, ,5,10,28574,12741685248,42,42,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28574,1541127166830,3145728,28528, , ,13,19,7,35,7,3,7, ,3,7, ,13,1, , , , , , , ,31288,16,2310,7, , , , , , ,1,7,15331600,-1, , , , , , ,102, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,3,1,5, ,25,9,5,1,3,5,4,2, , , , , 
2018-11-02 02:52:53.209 UTC, , , , , , , ,125,3164037,18184, , ,3,1,24,3,0.13,1, , , , , , ,3,3, ,2,1,2,1,4, ,37,22, , , , , , , , , , , , , ,28905,9, ,28628, , , , ,28952,12741652480,39,39,39,39, , , , , ,4,188, , , , , , , , , , , , , , , , , , , , , , , , , ,28952,1541127172784,3145728,28905, , ,31,0, , , ,2, , ,3, , ,31, ,2048,1, , , , , ,153112,48, , , , , , , , , , ,30952088,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-11-02 02:52:53.409 UTC, , , , , , , ,125,3186645,40792, , ,7, ,67,4,0.06, , , , , , , ,7,7, , , ,3,4,8, ,23,5, , , , , , , , , , , , , ,31232,10,1291,29919,1,1,4,9,31278,12741640192,39,39,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31278,1541127172784,3145728,31232, , ,13,8,7,26,7,3,7, ,3,7, ,13,1, , , , , , , ,31288,16,2326,7, , , , , , ,1,8,14279912,-1, , , , , , ,112, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,3,1,5, ,35,9,5,1,3,5,4,2, , , , , 
2018-11-02 02:53:46.652 UTC, , , , , , , ,125,3164061,18208, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,4, ,41,24, , , , , , , , , , , , , ,31740,11, ,31332, , , , ,31787,12741554176,36,36,36,36, , , , , ,4,225, , , , , , , , , , , , , , , , , , , , , , , , , ,31787,1541127226224,3145728,31740, , ,32,0, , , ,2, , ,3, , ,32, ,2048,1, , , , , ,151248,49, , , , , , , , , , ,31149848,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-11-02 02:53:46.853 UTC, , , , , , , ,125,3186837,40984, , ,7, ,67,4,0.06, , , , , , , ,7,7, , , ,3,4,8, ,23,5, , , , , , , , , , , , , ,34135,12,1423,32755,1,1,4,9,34181,12741550080,36,36,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34181,1541127226224,3145728,34135, , ,13,7,7,26,7,3,7, ,3,7, ,13,1, , , , , , , ,31288,16,2394,7, , , , , , ,1,7,16427760,-1, , , , , , ,122, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,3,1,5, ,45,9,5,1,3,5,4,2, , , , , 
2018-11-02 02:54:39.247 UTC, , , , , , , ,125,3164133,18280, , ,3,1,24,3,0.13,1, , , , , , ,3,3, ,2,1,2,1,4, ,45,26, , , , , , , , , , , , , ,34536,13, ,34235, , , , ,34583,12742369280,34,34,34,34, , , , , ,5,262, , , , , , , , , , , , , , , , , , , , , , , , , ,34583,1541127278824,3145728,34536, , ,35,0, , , ,2, , ,3, , ,35, ,2048,1, , , , , ,169858,54, , , , , , , , , , ,31225568,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-11-02 02:55:39.252 UTC, , , , , , , ,125,3316589,170288,448, ,46, ,80889,4,0.00, , , , , , , ,46,7, , , ,44,43,5, ,6779,5, , , , , , , , , , , , , ,2698607,748,3701,2696017,735,2442,847,3450,2698660,12739481600,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2698660,1541127278824,3145728,2699513, , ,13,51,5151,12169,5151,3,5151, ,3,5154, ,13,1, , , , , , , ,31288,16,2664960,5151, , , , , , ,176,179,29292880,-1, , , , , , ,2822044, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2208,736,3680, ,2745280,4448,3680,30,2208,3680,2944,1472, , , , , 
2018-11-02 02:56:23.341 UTC, , , , , , , ,125,3188125,42272, , ,13,3,85,13,0.15,8, , , , , ,3,13,5, ,18, ,12,11,5, ,1956,966, , , , , , , , , , , , , ,3526901,954,3524043,3524043,1,4,1,5,3526958,12738609152,4,4,4,4, , , , , ,431,27324, , , , , , , , , , , , , , , , , , , , , , , , , ,3526958,1541127382656,3145728,3526901, , ,986,7,1,7,1,4,1, ,3,2, ,986, ,18764,10,2987,1, , , ,7250054,1850, , , , , , , , ,1,6,35207488,-1, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
